avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.72,0.72,5.96,1,0.14,-72,72,0.0,0.0,0.0,0.14
-0.84,0.84,6.14,0.9900493386913721,0.08,-156,156,0.0,0.0,0.0,0.11
-0.82,0.82,5.53,0.980197693043223,0.09,-238,238,0.0,0.0,0.0,0.10333333333333333
-0.74,0.74,6.31,0.970444077784251,0.13,-312,312,0.0,0.0,0.0,0.11
-0.8,0.8,5.12,0.9607875174472562,0.1,-392,392,0.0,0.0,0.0,0.108
-0.78,0.78,5.39,0.9512270462715811,0.11,-470,470,0.0,0.0,0.0,0.10833333333333334
-0.8,0.8,6.37,0.9417617081065252,0.1,-550,550,0.0,0.0,0.0,0.10714285714285714
-0.8,0.8,6.2,0.9323905563157222,0.1,-630,630,0.0,0.0,0.0,0.10625
-0.82,0.82,5.58,0.9231126536824614,0.09,-712,712,0.0,0.0,0.0,0.10444444444444445
-0.82,0.82,6.01,0.9139270723159584,0.09,-794,794,0.0,0.0,0.0,0.103
-0.82,0.82,5.62,0.9048328935585562,0.09,-876,876,0.0,0.0,0.0,0.10181818181818182
-0.76,0.76,5.81,0.8958292078938495,0.12,-952,952,0.0,0.0,0.0,0.10333333333333333
-0.7,0.7,6.49,0.886915114855721,0.15,-1022,1022,0.0,0.0,0.0,0.10692307692307693
-0.76,0.76,6.32,0.8780897229382887,0.12,-1098,1098,0.0,0.0,0.0,0.10785714285714286
-0.94,0.94,5.53,0.8693521495067424,0.03,-1192,1192,0.0,0.0,0.0,0.10266666666666667
-0.8,0.8,5.81,0.8607015207090729,0.1,-1272,1272,0.0,0.0,0.0,0.1025
-0.8,0.8,6.09,0.8521369713886755,0.1,-1352,1352,0.0,0.0,0.0,0.10235294117647059
-0.78,0.78,5.62,0.843657644997827,0.11,-1430,1430,0.0,0.0,0.0,0.10277777777777777
-0.84,0.84,6.23,0.8352626935120188,0.08,-1514,1514,0.0,0.0,0.0,0.10157894736842105
-0.7,0.7,6.43,0.8269512773451482,0.15,-1584,1584,0.0,0.0,0.0,0.104
-0.88,0.88,4.98,0.8187225652655491,0.06,-1672,1672,0.0,0.0,0.0,0.1019047619047619
-0.82,0.82,5.59,0.8105757343128605,0.09,-1754,1754,0.0,0.0,0.0,0.10136363636363636
-0.96,0.96,6.66,0.8025099697157205,0.02,-1850,1850,0.0,0.0,0.0,0.09782608695652174
-0.8,0.8,5.95,0.7945244648102819,0.1,-1930,1930,0.0,0.0,0.0,0.09791666666666667
-0.8,0.8,5.49,0.7866184209595359,0.1,-2010,2010,0.0,0.0,0.0,0.098
-0.98,0.98,5.48,0.7787910474734399,0.01,-2108,2108,0.0,0.0,0.0,0.09461538461538462
-0.82,0.82,6.36,0.7710415615298397,0.09,-2190,2190,0.0,0.0,0.0,0.09444444444444444
-0.64,0.64,6.84,0.7633691880961806,0.18,-2254,2254,0.0,0.0,0.0,0.0975
-0.78,0.78,6.09,0.7557731598519929,0.11,-2332,2332,0.0,0.0,0.0,0.09793103448275862
-0.8,0.8,5.22,0.748252717112154,0.1,-2412,2412,0.0,0.0,0.0,0.098
-0.72,0.72,6.33,0.74080710775091,0.14,-2484,2484,0.0,0.0,0.0,0.09935483870967741
-0.8,0.8,6.88,0.7334355871266565,0.1,-2564,2564,0.0,0.0,0.0,0.099375
-0.82,0.82,4.59,0.7261374180074647,0.09,-2646,2646,0.0,0.0,0.0,0.09909090909090909
-0.68,0.68,6.21,0.7189118704973512,0.16,-2714,2714,0.0,0.0,0.0,0.10088235294117646
-0.82,0.82,6.04,0.7117582219632792,0.09,-2796,2796,0.0,0.0,0.0,0.10057142857142858
-0.64,0.64,6.62,0.7046757569628911,0.18,-2860,2860,0.0,0.0,0.0,0.10277777777777777
-0.8,0.8,6.02,0.697663767172952,0.1,-2940,2940,0.0,0.0,0.0,0.10270270270270271
-0.76,0.76,6.11,0.6907215513185129,0.12,-3016,3016,0.0,0.0,0.0,0.1031578947368421
-1.0,1.0,6.6,0.6838484151027725,0.12,-3116,3116,0.0,0.0,0.0,0.10051282051282051
-0.86,0.86,5.46,0.6770436711376424,0.07,-3202,3202,0.0,0.0,0.0,0.09975
-0.82,0.82,5.82,0.6703066388750015,0.09,-3284,3284,0.0,0.0,0.0,0.09951219512195122
-0.72,0.72,7.2,0.6636366445386316,0.14,-3356,3356,0.0,0.0,0.0,0.10047619047619048
-0.76,0.76,6.34,0.657033021056833,0.12,-3432,3432,0.0,0.0,0.0,0.10093023255813953
-0.78,0.78,5.48,0.6504951079957114,0.11,-3510,3510,0.0,0.0,0.0,0.10113636363636364
-0.74,0.74,6.34,0.6440222514931265,0.13,-3584,3584,0.0,0.0,0.0,0.10177777777777777
-0.74,0.74,6.6,0.6376138041932984,0.13,-3658,3658,0.0,0.0,0.0,0.10239130434782609
-0.72,0.72,6.72,0.6312691251820646,0.14,-3730,3730,0.0,0.0,0.0,0.10319148936170212
-0.76,0.76,5.98,0.6249875799227835,0.12,-3806,3806,0.0,0.0,0.0,0.10354166666666667
-0.84,0.84,5.25,0.6187685401928729,0.08,-3890,3890,0.0,0.0,0.0,0.10306122448979592
-0.8,0.8,5.99,0.6126113840209793,0.1,-3970,3970,0.0,0.0,0.0,0.103
-0.82,0.82,5.46,0.6065154956247766,0.09,-4052,4052,0.0,0.0,0.0,0.1027450980392157
-0.82,0.82,5.92,0.6004802653493791,0.09,-4134,4134,0.0,0.0,0.0,0.1025
-0.82,0.82,5.62,0.594505089606372,0.09,-4216,4216,0.0,0.0,0.0,0.10226415094339622
-0.78,0.78,6.25,0.5885893708134431,0.11,-4294,4294,0.0,0.0,0.0,0.1024074074074074
-0.78,0.78,6.02,0.5827325173346204,0.11,-4372,4372,0.0,0.0,0.0,0.10254545454545455
-0.92,0.92,5.63,0.5769339434210992,0.04,-4464,4464,0.0,0.0,0.0,0.10142857142857142
-0.72,0.72,5.93,0.5711930691526644,0.14,-4536,4536,0.0,0.0,0.0,0.10210526315789474
-0.86,0.86,5.19,0.565509320379691,0.07,-4622,4622,0.0,0.0,0.0,0.10155172413793104
-0.74,0.74,6.46,0.5598821286657205,0.13,-4696,4696,0.0,0.0,0.0,0.10203389830508475
-0.66,0.66,6.98,0.5543109312306146,0.17,-4762,4762,0.0,0.0,0.0,0.10316666666666667
-0.8,0.8,6.0,0.5487951708942683,0.1,-4842,4842,0.0,0.0,0.0,0.10311475409836066
-0.8,0.8,6.19,0.5433342960208886,0.1,-4922,4922,0.0,0.0,0.0,0.10306451612903225
-0.8,0.8,6.29,0.5379277604638235,0.1,-5002,5002,0.0,0.0,0.0,0.10301587301587302
-0.84,0.84,6.2,0.5325750235109391,0.08,-5086,5086,0.0,0.0,0.0,0.10265625
-0.9,0.9,5.51,0.5272755498305473,0.05,-5176,5176,0.0,0.0,0.0,0.10184615384615385
-0.72,0.72,7.36,0.5220288094178624,0.14,-5248,5248,0.0,0.0,0.0,0.10242424242424242
-0.7,0.7,7.1,0.5168342775419988,0.15,-5318,5318,0.0,0.0,0.0,0.10313432835820896
-0.76,0.76,6.44,0.5116914346934888,0.12,-5394,5394,0.0,0.0,0.0,0.10338235294117647
-0.76,0.76,6.07,0.506599766532328,0.12,-5470,5470,0.0,0.0,0.0,0.1036231884057971
-0.8,0.8,5.97,0.5015587638365347,0.1,-5550,5550,0.0,0.0,0.0,0.10357142857142858
-0.82,0.82,6.11,0.496567922451223,0.09,-5632,5632,0.0,0.0,0.0,0.10338028169014085
-0.82,0.82,5.89,0.4916267432381818,0.09,-5714,5714,0.0,0.0,0.0,0.10319444444444445
-0.74,0.74,6.35,0.4867347320259549,0.13,-5788,5788,0.0,0.0,0.0,0.10356164383561643
-0.72,0.72,5.86,0.48189139956041893,0.14,-5860,5860,0.0,0.0,0.0,0.10405405405405406
-0.96,0.96,4.9,0.4770962614558525,0.02,-5956,5956,0.0,0.0,0.0,0.10293333333333334
-0.74,0.74,6.04,0.4723488381464926,0.13,-6030,6030,0.0,0.0,0.0,0.10328947368421053
-0.8,0.8,5.83,0.467648654838573,0.1,-6110,6110,0.0,0.0,0.0,0.10324675324675325
-0.82,0.82,5.82,0.46299524146283894,0.09,-6192,6192,0.0,0.0,0.0,0.10307692307692308
-0.76,0.76,6.85,0.4583881326275357,0.12,-6268,6268,0.0,0.0,0.0,0.10329113924050633
-0.76,0.76,6.32,0.45382686757186447,0.12,-6344,6344,0.0,0.0,0.0,0.1035
-0.84,0.84,6.09,0.4493109901199013,0.08,-6428,6428,0.0,0.0,0.0,0.10320987654320987
-0.64,0.64,6.19,0.44484004863497356,0.18,-6492,6492,0.0,0.0,0.0,0.10414634146341463
-0.84,0.84,5.97,0.4404135959744933,0.08,-6576,6576,0.0,0.0,0.0,0.10385542168674698
-0.76,0.76,5.77,0.4360311894452362,0.12,-6652,6652,0.0,0.0,0.0,0.10404761904761904
-0.7,0.7,6.43,0.4316923907590687,0.15,-6722,6722,0.0,0.0,0.0,0.10458823529411765
-0.78,0.78,5.93,0.42739676598911336,0.11,-6800,6800,0.0,0.0,0.0,0.10465116279069768
-0.86,0.86,5.5,0.42314388552635285,0.07,-6886,6886,0.0,0.0,0.0,0.10425287356321838
-0.7,0.7,5.9,0.4189333240366638,0.15,-6956,6956,0.0,0.0,0.0,0.10477272727272727
-1.0,1.0,5.91,0.41476466041827703,0.15,-7056,7056,0.0,0.0,0.0,0.10359550561797753
-0.78,0.78,5.95,0.41063747775966636,0.11,-7134,7134,0.0,0.0,0.0,0.10366666666666667
-0.78,0.78,6.23,0.4065513632978508,0.11,-7212,7212,0.0,0.0,0.0,0.10373626373626374
-0.74,0.74,6.03,0.40250590837711264,0.13,-7286,7286,0.0,0.0,0.0,0.10402173913043478
-0.68,0.68,6.52,0.39850070840813034,0.16,-7354,7354,0.0,0.0,0.0,0.1046236559139785
-0.76,0.76,6.73,0.39453536282751267,0.12,-7430,7430,0.0,0.0,0.0,0.10478723404255319
-0.88,0.88,4.96,0.3906094750577395,0.06,-7518,7518,0.0,0.0,0.0,0.10431578947368421
-0.62,0.62,7.08,0.3867226524674988,0.19,-7580,7580,0.0,0.0,0.0,0.10520833333333333
-0.82,0.82,5.56,0.38287450633242015,0.09,-7662,7662,0.0,0.0,0.0,0.10505154639175257
-0.68,0.68,5.89,0.3790646517961982,0.16,-7730,7730,0.0,0.0,0.0,0.10561224489795919
-0.84,0.84,5.85,0.375292707832101,0.08,-7814,7814,0.0,0.0,0.0,0.10535353535353535
-0.86,0.86,6.2,0.37155829720486555,0.07,-7900,7900,0.0,0.0,0.0,0.105
